opstina,mesto,ulica,cena,povrsina,cena_po_m2,broj_soba,stanje,sprat,grejanje,uknjizenost,parking_garaza,Lift,Terasa,Lodja,Tavan,Podrum,namesten,godina_izgradnje,X,Y
Stari Grad,Dorcol,Brace Baruh,69900,32,2184,1.5,NA,3,Struja,Uknjizeno,0,0,1,0,0,1,NA,1939,44.8265,20.45849
Palilula,Hadzipopovac,Nikodima Milasa,69900,36,1942,1.5,NA,2,Centralno,Uknjizeno,0,1,1,0,0,1,Prazno,1968,44.80974,20.48327
Novi Beograd,Bezanija,Zemunska,69500,56,1241,1.5,NA,4,TA pec,Uknjizeno,0,0,0,1,0,0,NA,NA,44.80925,20.39062
Novi Beograd,Bezanija,Zemunska,69500,56,1241,1.5,NA,4,TA pec,Uknjizeno,0,0,0,1,0,0,NA,1980,44.80925,20.39062
Novi Beograd,Blok 63,Gandijeva,69000,44,1568,1.5,NA,2,Centralno,Uknjizeno,1,1,0,1,0,0,NA,NA,44.8075,20.38505
Novi Beograd,Blok 7 - Paviljoni,Sremskih odreda,68000,39,1744,1.5,NA,NA,TA pec,Uknjizeno,0,NA,NA,NA,NA,NA,NA,NA,44.83051,20.40615
Vracar,Crveni Krst Vracar,Sazonova,67000,26,2577,1.5,NA,Prizemlje,Centralno,Uknjizeno,0,NA,NA,NA,NA,NA,NA,1936,44.7959,20.48261
Palilula,Profesorska Kolonija,Profesorska Kolonija,67000,36,1861,1.5,NA,5,Centralno,Uknjizeno,0,NA,NA,NA,NA,NA,NA,NA,44.81118,20.47897
Vozdovac,Konjarnik,Mihajla Todorovica,67000,52,1288,1.5,NA,3,Norveski radijatori,Uknjizeno,1,0,1,1,0,0,Namesteno,NA,44.77988,20.51002
Novi Beograd,Studentski Grad,Studentska,66500,33,2015,1.5,NA,5,Centralno,Uknjizeno,0,0,1,0,0,1,Prazno,NA,44.82655,20.40488
Savski Venac,Klinicki Centar,Oblakovska,66500,46,1446,1.5,NA,2,Etazno,Uknjizeno,0,0,0,1,0,0,Prazno,NA,44.79309,20.4626
Savski Venac,Klinicki Centar,Oblakovska,66000,49,1347,1.5,NA,NA,Etazno,Uknjizeno,0,0,0,0,0,1,NA,1988,44.79309,20.4626
Cukarica,Žarkovo,Žarkovo,65000,40,1625,1.5,NA,3,Centralno,Nije uknjizeno,0,0,1,0,0,0,Namesteno,NA,44.75499,20.40994
Cukarica,Banovo Brdo,Pozeska,65000,45,1444,1.5,NA,Suteren,Centralno,Uknjizeno,0,NA,NA,NA,NA,NA,NA,1960,44.77315,20.41395
Cukarica,Banovo Brdo,Pozeska,65000,45,1444,1.5,NA,Prizemlje,Centralno,Uknjizeno,0,NA,NA,NA,NA,NA,NA,NA,44.77315,20.41395
Zemun,Zemun - Centar,Cara Dusana,65000,49,1327,1.5,NA,5,NA,NA,0,0,1,0,0,1,Prazno,NA,44.85113,20.39736
Cukarica,Žarkovo,Porucnika Spasica i Masere,65000,52,1250,1.5,NA,10,Centralno,Uknjizeno,1,1,1,0,0,1,NA,1989,44.76562,20.4101
Zvezdara,Mirijevo,Dragoslava Ðordevica Gose,65000,78,833,1.5,NA,Prizemlje,Etazno,Uknjizeno,0,1,1,0,0,0,Prazno,2017,44.79616,20.53007
Rakovica,Vidikovac,Vidikovacki venac,64900,53,1225,1.5,NA,4,Centralno,Uknjizeno,0,2,0,1,0,0,NA,NA,44.74339,20.42248
Novi Beograd,Blok 8a - Paviljoni,Blok 8a - Paviljoni,64000,38,1684,1.5,NA,NA,Centralno,Uknjizeno,0,2,0,0,0,0,NA,NA,44.82374,20.41415
Vozdovac,Autokomanda,Oblakovska,64000,41,1561,1.5,NA,2,NA,Uknjizeno,0,0,0,1,0,0,NA,NA,44.79309,20.4626
